6.3	 6.2	   6.4	     6.6
6.2	 6.4	   6.6	     6.9
6.4	 6.6	   6.9	     7.1
6.6	 6.9	   7.1	     7.2
6.9	 7.1	   7.2	     7.4
7.1	 7.2	   7.4	     7.4
7.2	 7.4	   7.4	     7.4
7.4	 7.4	   7.4	     7.5
7.4	 7.4	   7.5	     7.6
7.4	 7.5	   7.6	     7.6
7.5	 7.6	   7.6	     7.6
7.6	 7.6	   7.6	     7.6
7.6	 7.6	   7.6	     7.7
7.6	 7.6	   7.7	     7.8
7.6	 7.7	   7.8	     8.0
7.7	 7.8	   8.0	     8.3
7.8	 8.0	   8.3	     8.6
8.0	 8.3	   8.6	     8.5
8.3	 8.6	   8.5	     8.1
8.6	 8.5	   8.1	     7.9
8.5	 8.1	   7.9	     7.6
8.1	 7.9	   7.6	     7.6
7.9	 7.6	   7.6	     7.5
7.6	 7.6	   7.5	     7.3
7.6	 7.5	   7.3	     7.0
7.5	 7.3	   7.0	     6.8
7.3	 7.0	   6.8	     6.7
7.0	 6.8	   6.7	     6.8
6.8	 6.7	   6.8	     6.8
6.7	 6.8	   6.8	     6.8
6.8	 6.8	   6.8	     6.8
6.8	 6.8	   6.8	     6.7
6.8	 6.8	   6.7	     6.8
6.8	 6.7	   6.8	     6.8
6.7	 6.8	   6.8	     6.8
6.8	 6.8	   6.8	     6.8
6.8	 6.8	   6.8	     6.8
6.8	 6.8	   6.8	     6.6
6.8	 6.8	   6.6	     6.5
6.8	 6.6	   6.5	     6.5
6.6	 6.5	   6.5	     6.3
6.5	 6.5	   6.3	     6.3
6.5	 6.3	   6.3	     6.3
6.3	 6.3	   6.3	     6.4
6.3	 6.3	   6.4	     6.4
6.3	 6.4	   6.4	     6.2
6.4	 6.4	   6.2	     6.2
6.4	 6.2	   6.2	     6.3
6.2	 6.2	   6.3	     6.5
6.2	 6.3	   6.5	     6.6
6.3	 6.5	   6.6	     6.8
6.5	 6.6	   6.8	     6.9
6.6	 6.8	   6.9	     7.1
6.8	 6.9	   7.1	     7.1
6.9	 7.1	   7.1	     7.3
7.1	 7.1	   7.3	     7.2
7.1	 7.3	   7.2	     7.1
7.3	 7.2	   7.1	     7.4
7.2	 7.1	   7.4	     7.8
7.1	 7.4	   7.8	     8.2
7.4	 7.8	   8.2	     8.2
7.8	 8.2	   8.2	     8.1
8.2	 8.2	   8.1	     8.4
8.2	 8.1	   8.4	     8.6
8.1	 8.4	   8.6	     8.5
8.4	 8.6	   8.5	     8.5
8.6	 8.5	   8.5	     8.6
